8563,2439
8529,6022
9935,8225
792,2757
5062,4368
7536,5973
5143,2570
2970,27
1824,8573
5524,258
2380,6756
3211,1929
2433,1295
9161,6684
4344,8898
6779,7553
805,9958
9758,7164
881,6195
8882,2047
4487,8544
2062,7952
7198,8009
3811,6219
549,8406
6544,9233
7866,335
4910,488
9713,289
4044,5531
3954,4494
6180,4135
7734,250
2991,3706
8844,6483
6796,4933
387,7389
5817,1260
3143,5771
7826,8603
2005,993
499,958
9257,2538
732,1604
5418,5897
761,380
9298,799
7080,3384
9246,5416
3865,3840
9892,377
3360,3427
8769,1989
3554,8343
7143,2110
6137,8267
5302,2061
5595,5362
4528,3902
1460,982
7777,2221
3486,86
9212,9015
1974,4483
3217,350
7605,4468
9792,7988
1586,197
1578,6330
9212,9189
205,9403
5267,7775
5004,5612
9149,5257
6308,5850
3051,8700
3109,586
6044,769
1842,5895
5974,6385
8582,4138
4597,2899
445,933
2213,3784
4049,2983
3195,3751
7045,2723
8229,6952
2916,5254
1959,5944
3910,5198
1205,9149
8549,9882
9551,5838
2098,4264
5327,7456
2547,3627
6296,8915
3573,2786
4905,5064
6226,9131
1896,2938
2292,1024
3516,1622
1606,8435
1046,8188
850,1035
6559,1810
2505,2673
7553,8931
7631,172
6694,329
5712,2015
7289,5044
8675,7265
9519,7439
8882,2311
1444,9450
1206,5821
1535,2605
1970,6122
9634,9591
9408,9970
3532,8258
2221,6311
3907,5267
145,8498
8540,4280
4693,6707
2494,6233
6082,9117
1141,6785
7436,9495
9280,2385
355,6918
5198,5421
9294,4056
1851,4778
6722,8953
9120,4474
2483,7048
4022,1047
1554,4304
5287,825
1405,7458
4487,5685
115,2159
8186,2668
969,8729
258,6626
7159,9494
9449,9583
6213,4086
1072,3188
5104,5781
4971,9193
5901,155
3432,9334
3056,5957
6115,7121
4167,3995
7087,7549
6060,6833
9094,6253
7446,3175
6651,3150
7511,5262
8845,5744
7260,128
2147,704
4544,6874
1094,9020
752,572
5016,4440
5653,5098
8221,7233
2449,4453
7404,4185
440,3801
7074,4976
2258,6876
2454,8878
5694,6622
2357,9740
5719,1518
7473,1996
5420,7821
942,9838
9285,294
6915,9157
7512,6171
2205,4214
6105,322
6685,5828
6562,6487
9653,6229
3428,8386
255,6629
7983,5216
4987,9396
7437,3095
9966,5531
3464,603
8541,5576
3033,1521
7683,7121
5357,7227
4233,1016
5003,5335
6728,5875
7572,3413
8744,5215
1069,4728
2579,2280
9344,8692
6981,4241
6718,4001
4361,9854
4539,2321
5634,7251
8632,2741
5455,8843
744,4999
605,8305
2752,7789
3981,477
1514,5495
5276,9230
8137,3008
2681,8676
4251,511
9045,8777
2633,2206
7460,4386
662,7440
2177,9914
3966,3848
1110,3184
9003,1822
5165,6663
2908,5526
3272,2203
6340,478
1557,2236
3190,7605
1342,4160
9349,8092
5838,1411
8416,4925
6339,5045
2336,8344
2619,8400
2830,3324
3425,6826
3864,2350
6359,3080
3615,7853
2691,7933
8030,4246
7151,4875
9566,2929
4714,9308
5520,7385
807,1697
8197,3790
3743,1467
974,5598
3816,6484
2608,5703
4450,590
8585,7030
1364,7256
968,1461
5959,1309
2354,9415
5880,7616
1272,3651
3433,2393
289,5832
1348,5590
6696,2143
4901,8877
289,7513
2668,500
2996,2551
2751,2936
2803,8887
6482,5631
8204,8427
1078,1880
7013,5554
4736,1698
3194,7321
2833,8939
7606,591
5645,5393
3259,7912
4527,9208
4914,4880
7934,1350
5438,5265
6568,135
5010,8500
5214,5518
6174,5950
9613,2300
341,4434
8281,5
8654,7307
4123,8955
9659,2000
5792,14
2946,4741
2436,7147
9324,2063
3475,9315
4962,5518
9767,3210
9802,5729
8137,7117
3973,6726
1464,5670
7387,1202
5442,5474
6537,5904
8004,8316
2554,9458
9231,7288
6080,1840
7480,4683
8392,1045
772,9070
3569,1493
5070,9345
1210,250
9292,4
760,1486
5620,3840
7535,6718
2318,7179
9872,3559
9210,6814
7546,2443
8386,2944
3974,7973
8598,9293
4829,4510
8198,9200
5681,4147
6464,7591
9237,1612
8376,5309
8272,1025
2867,1747
4485,1654
8922,9291
7212,5762
2503,8094
1486,2922
881,7586
9288,7956
2809,4475
4372,5416
5871,5773
6459,8668
3659,6824
8856,1899
1743,6998
7154,1264
648,4167
3805,2791
4047,3133
4057,3295
8856,7685
3972,3347
8778,9576
8297,2771
6071,4310
8624,2179
4888,115
9154,3250
1166,215
9240,4522
1021,9449
